"Polynomial regular expression used on uncontrolled data","A regular expression that can require polynomial time to match may be vulnerable to denial-of-service attacks.","warning","This [[""regular expression""|""relative:///lib/xiki/tools/twitter.rb:41:26:41:27""]] that depends on a [[""user-provided value""|""relative:///lib/xiki/tools/twitter.rb:35:17:35:101""]] may run slow on strings starting with '<title>' and with many repetitions of '<title>a'.","/lib/xiki/tools/twitter.rb","41","7","41","40"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","This string may still contain [[""<script""|""relative:///lib/xiki/core/code_tree.rb:69:23:69:25""]], which may cause an HTML element injection vulnerability.","/lib/xiki/core/code_tree.rb","69","9","69","33"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","This string may still contain [[""<script""|""relative:///lib/xiki/core/code_tree.rb:149:24:149:25""]], which may cause an HTML element injection vulnerability.","/lib/xiki/core/code_tree.rb","149","11","149","32"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","This string may still contain [[""<script""|""relative:///lib/xiki/core/code_tree.rb:152:24:152:25""]], which may cause an HTML element injection vulnerability.","/lib/xiki/core/code_tree.rb","152","11","152","32"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","This string may still contain [[""<script""|""relative:///lib/xiki/core/code_tree.rb:155:24:155:25""]], which may cause an HTML element injection vulnerability.","/lib/xiki/core/code_tree.rb","155","11","155","32"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","This string may still contain [[""<script""|""relative:///lib/xiki/core/command.rb:481:17:481:18""]], which may cause an HTML element injection vulnerability.","/lib/xiki/core/command.rb","481","7","481","25"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","This string may still contain [[""<script""|""relative:///lib/xiki/core/diff_log.rb:185:17:185:18""]], which may cause an HTML element injection vulnerability.","/lib/xiki/core/diff_log.rb","185","7","185","30"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","This string may still contain [[""<script""|""relative:///lib/xiki/core/history.rb:152:24:152:25""]], which may cause an HTML element injection vulnerability.","/lib/xiki/core/history.rb","152","14","152","33"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","This string may still contain [[""<script""|""relative:///lib/xiki/core/html.rb:117:20:117:22""]], which may cause an HTML element injection vulnerability.","/lib/xiki/core/html.rb","117","9","117","36"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","This string may still contain [[""<script""|""relative:///lib/xiki/core/html.rb:120:20:120:22""]], which may cause an HTML element injection vulnerability.","/lib/xiki/core/html.rb","120","9","120","36"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","This string may still contain [[""<script""|""relative:///lib/xiki/core/launcher.rb:563:28:563:29""]], which may cause an HTML element injection vulnerability.","/lib/xiki/core/launcher.rb","563","18","563","43"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","This string may still contain [[""<script""|""relative:///lib/xiki/core/ol.rb:279:15:279:16""]], which may cause an HTML element injection vulnerability.","/lib/xiki/core/ol.rb","279","5","279","23"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","This string may still contain [[""<script""|""relative:///lib/xiki/core/ol.rb:541:15:541:16""]], which may cause an HTML element injection vulnerability.","/lib/xiki/core/ol.rb","541","5","541","26"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","This string may still contain [[""<script""|""relative:///lib/xiki/core/ol.rb:551:17:551:19""]], which may cause an HTML element injection vulnerability.","/lib/xiki/core/ol.rb","551","5","551","28"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","This string may still contain [[""<script""|""relative:///lib/xiki/core/ol.rb:552:17:552:19""]], which may cause an HTML element injection vulnerability.","/lib/xiki/core/ol.rb","552","5","552","26"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","This string may still contain [[""<!--""|""relative:///lib/xiki/core/rest_tree.rb:187:30:187:33""]], which may cause an HTML element injection vulnerability.","/lib/xiki/core/rest_tree.rb","187","15","187","39"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","This string may still contain [[""<script""|""relative:///lib/xiki/core/topic_expander.rb:783:27:783:28""]], which may cause an HTML element injection vulnerability.","/lib/xiki/core/topic_expander.rb","783","18","783","36"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","This string may still contain [[""<script""|""relative:///lib/xiki/core/view.rb:837:19:837:20""]], which may cause an HTML element injection vulnerability.","/lib/xiki/core/view.rb","837","9","837","27"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","This string may still contain [[""<script""|""relative:///lib/xiki/core/xikihub_client.rb:356:27:356:29""]], which may cause an HTML element injection vulnerability.","/lib/xiki/core/xikihub_client.rb","356","18","356","40"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","This string may still contain [[""<script""|""relative:///lib/xiki/core/xikihub_client.rb:664:34:664:36""]], which may cause an HTML element injection vulnerability.","/lib/xiki/core/xikihub_client.rb","664","25","664","47"
"Incomplete multi-character sanitization","A sanitizer that removes a sequence of characters may reintroduce the dangerous sequence.","warning","This string may still contain [[""<script""|""relative:///lib/xiki/core/xikihub_client.rb:904:29:904:31""]], which may cause an HTML element injection vulnerability.","/lib/xiki/core/xikihub_client.rb","904","13","904","39"
